Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Days Existed,Funding,Select Investors
Bytedance,"$180,000,000,000 ",4/7/2017,Artificial intelligence,Beijing,China,Asia,2012,40820,"$8,000,000,000 ","Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,"$100,000,000,000 ",12/1/2012,Other,Hawthorne,United States,North America,2002,39242,"$7,000,000,000 ","Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,"$100,000,000,000 ",7/3/2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,41276,"$2,000,000,000 ","Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,"$95,000,000,000 ",1/23/2014,Fintech,San Francisco,United States,North America,2010,39652,"$2,000,000,000 ","Khosla Ventures, LowercaseCapital, capitalG"
Klarna,"$46,000,000,000 ",12/12/2011,Fintech,Stockholm,Sweden,Europe,2005,38884,"$4,000,000,000 ","Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,"$40,000,000,000 ",1/8/2018,Internet software & services,Surry Hills,Australia,Oceania,2012,41096,"$572,000,000 ","Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,"$40,000,000,000 ",5/2/2019,Fintech,London,United Kingdom,Europe,2012,41575,"$2,000,000,000 ","Tiger Global Management, Insight Partners, DST Global"
Instacart,"$39,000,000,000 ",12/30/2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,39991,"$3,000,000,000 ","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,"$38,000,000,000 ",12/20/2017,Consumer & retail,San Francisco,United States,North America,2015,41074,"$14,000,000,000 ",Tiger Global Management
Databricks,"$38,000,000,000 ",2/5/2019,Data management & analytics,San Francisco,United States,North America,2013,41488,"$3,000,000,000 ","Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,"$33,000,000,000 ",4/26/2018,Fintech,London,United Kingdom,Europe,2015,41201,"$2,000,000,000 ","index Ventures, DST Global, Ribbit Capital"
Epic Games,"$32,000,000,000 ",10/26/2018,Other,Cary,United States,North America,1991,41408,"$7,000,000,000 ","Tencent Holdings, KKR, Smash Ventures"
FTX,"$32,000,000,000 ",7/20/2021,Fintech,,Bahamas,North America,2018,42379,"$2,000,000,000 ","Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,"$27,000,000,000 ",6/6/2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,39064,"$4,000,000,000 ","SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,"$25,000,000,000 ",3/5/2019,Fintech,San Francisco,United States,North America,2013,41516,"$2,000,000,000 ","Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,"$22,000,000,000 ",7/25/2017,Edtech,Bengaluru,India,Asia,2008,40933,"$4,000,000,000 ","Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,"$20,000,000,000 ",4/7/2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,42278,"$5,000,000,000 ","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,"$20,000,000,000 ",3/31/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,40447,"$918,000,000 ","GGV Capital, ZhenFund, Tencent"
Miro,"$18,000,000,000 ",1/5/2022,Internet software & services,San Francisco,United States,North America,2011,42555,"$476,000,000 ","Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,"$17,000,000,000 ",5/31/2017,Edtech,Beijing,China,Asia,2012,40874,"$4,000,000,000 ","Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,"$15,000,000,000 ",12/3/2019,Fintech,London,United Kingdom,Europe,2016,41786,"$770,000,000 ","Target Global, General Catalyst, Durable Capital Partners"
Discord,"$15,000,000,000 ",4/20/2018,Internet software & services,San Francisco,United States,North America,2012,41198,"$979,000,000 ","Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,"$15,000,000,000 ",3/1/2020,Consumer & retail,Beijing,China,Asia,2016,41875,"$721,000,000 ","Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,"$15,000,000,000 ",10/8/2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,42099,"$3,000,000,000 ","Accel, Softbank Group, Anthos Capital"
Blockchain.com,"$14,000,000,000 ",2/17/2021,Fintech,London,United Kingdom,Europe,2011,42233,"$490,000,000 ","Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,"$13,000,000,000 ",12/11/2018,Fintech,San Francisco,United States,North America,2012,41433,"$734,000,000 ","New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,"$13,000,000,000 ",10/16/2018,Health,Waltham,United States,North America,2017,41372,"$2,000,000,000 ","Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,"$13,000,000,000 ",7/20/2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,42380,"$427,000,000 ","Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,"$13,000,000,000 ",10/10/2019,Internet software & services,San Francisco,United States,North America,2009,41739,"$400,000,000 ","General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,"$12,000,000,000 ",7/12/2019,Artificial intelligence,Pittsburgh,United States,North America,2016,41642,"$4,000,000,000 ","Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,"$12,000,000,000 ",6/12/2019,Other,Stockholm,Sweden,Europe,2016,41612,"$4,000,000,000 ","Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,"$12,000,000,000 ",10/30/2019,Artificial intelligence,San Francisco,United States,North America,2017,41751,"$1,000,000,000 ","Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,"$12,000,000,000 ",11/15/2018,Internet software & services,San Francisco,United States,North America,2013,41406,"$1,000,000,000 ","Caffeinated Capital, CRV, Founder Collective"
Brex,"$12,000,000,000 ",10/5/2018,Fintech,San Francisco,United States,North America,2017,41361,"$1,000,000,000 ","DST Global, Ribbit Capital, Greenoaks Capital Management"
Getir,"$12,000,000,000 ",3/26/2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,42266,"$2,000,000,000 ","Tiger Global Management, Sequoia Capital, Revo Capital"
Biosplice Therapeutics,"$12,000,000,000 ",8/6/2018,Health,San Diego,United States,North America,2008,41310,"$799,000,000 ","Vickers Venture Partners, IKEA GreenTech"
Bitmain,"$12,000,000,000 ",7/6/2018,Hardware,Beijing,China,Asia,2015,41272,"$765,000,000 ","Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,"$12,000,000,000 ",10/13/2021,Internet software & services,Roseville,United States,North America,2003,42479,"$800,000,000 ","New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,"$12,000,000,000 ",7/22/2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,42025,"$5,000,000,000 ","KKR, Tencent Holdings, Sequoia Capital China"
ZongMu Technology,"$11,000,000,000 ",6/3/2021,Auto & transportation,Shanghai,China,Asia,2013,42337,"$376,000,000 ","LTW Capital, Legend Capital, Qualcomm Ventures"
Bolt,"$11,000,000,000 ",5/29/2018,Auto & transportation,Tallinn,Estonia,Europe,2013,41236,"$1,000,000,000 ","Didi Chuxing, Diamler, TMT Investments"
Swiggy,"$11,000,000,000 ",6/21/2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,41258,"$5,000,000,000 ","Accel India, SAIF Partners, Norwest Venture Partners"
Weilong Foods,"$11,000,000,000 ",5/8/2021,Consumer & retail,Luohe,China,Asia,1999,42325,"$558,000,000 ","Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Global Switch,"$11,000,000,000 ",12/22/2016,Hardware,London,United Kingdom,Europe,1998,40728,"$5,000,000,000 ","Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,"$11,000,000,000 ",10/8/2021,Fintech,San Francisco,United States,North America,2014,42463,"$1,000,000,000 ","Activant Capital, Tribe Capital, General Atlantic"
Celonis,"$11,000,000,000 ",6/26/2018,Data management & analytics,Munich,Germany,Europe,2011,41266,"$1,000,000,000 ","Accel, 83North"
Zuoyebang,"$10,000,000,000 ",7/18/2018,Edtech,Beijing,China,Asia,2014,41285,"$3,000,000,000 ","Sequoia Capital China, Xiang He Capital, GGV Capital"
Ripple,"$10,000,000,000 ",12/20/2019,Fintech,San Francisco,United States,North America,2012,41807,"$294,000,000 ","IDG Capital, Venture51, Lightspeed Venture Partners"
OYO Rooms,"$10,000,000,000 ",9/25/2018,Travel,Gurugram,India,Asia,2012,41356,"$3,000,000,000 ","SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
OutSystems,"$10,000,000,000 ",6/5/2018,Internet software & services,Boston,United States,North America,2001,41255,"$572,000,000 ","KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,"$10,000,000,000 ",11/14/2018,Internet software & services,Glendale,United States,North America,2012,41406,"$1,000,000,000 ","Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Alchemy,"$10,000,000,000 ",10/28/2021,Fintech,San Francisco,United States,North America,2017,42480,"$564,000,000 ","DFJ Growth Fund, Coatue Management, Addition"
Chehaoduo,"$10,000,000,000 ",3/12/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,40426,"$4,000,000,000 ","Sequoia Capital China, GX Capital"
Digital Currency Group,"$10,000,000,000 ",11/1/2021,Fintech,New York,United States,North America,2015,42486,"$1,000,000,000 ","Ribbit Capital, capitalG, Softbank Group"
Figma,"$10,000,000,000 ",4/30/2020,Internet software & services,San Francisco,United States,North America,2012,41939,"$333,000,000 ","Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Gusto,"$10,000,000,000 ",12/18/2015,Fintech,San Francisco,United States,North America,2011,40345,"$691,000,000 ","General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Lalamove,"$10,000,000,000 ",2/21/2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,41504,"$2,000,000,000 ","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Notion Labs,"$10,000,000,000 ",4/1/2020,Internet software & services,San Francisco,United States,North America,2016,41906,"$343,000,000 ","Index Ventures, Draft Ventures, Felicis Ventures"
reddit,"$10,000,000,000 ",7/31/2017,Internet software & services,San Francisco,United States,North America,2005,40942,"$1,000,000,000 ","Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,"$10,000,000,000 ",10/3/2018,Internet software & services,San Francisco,United States,North America,2011,41365,"$497,000,000 ","DJF, Salesforce Ventures, Storm Ventures"
Thrasio,"$10,000,000,000 ",7/15/2020,Other,Walpole,United States,North America,2018,42009,"$2,000,000,000 ","Upper90, RiverPark Ventures, Advent International"
Dunamu,"$9,000,000,000 ",7/22/2021,Fintech,Seoul,South Korea,Asia,2012,42387,"$71,000,000 ","Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Yanolja,"$9,000,000,000 ",6/10/2019,Travel,Seoul,South Korea,Asia,2005,41621,"$2,000,000,000 ","SBI Investment Korea, Partners Investment, GIC"
Pony.ai,"$9,000,000,000 ",7/11/2018,Artificial intelligence,Fremont,United States,North America,2016,41276,"$1,000,000,000 ","Sequoia Capital China, IDG Capital, DCM Ventures"
Nuro,"$9,000,000,000 ",2/11/2019,Auto & transportation,Mountain View,United States,North America,2016,41491,"$2,000,000,000 ","SoftBank Group, Greylock Partners, Gaorong Capital"
Snyk,"$9,000,000,000 ",1/21/2020,Cybersecurity,Boston,United States,North America,2015,41836,"$1,000,000,000 ","BOLDstart Ventures, Google Ventures, Accel"
Kavak,"$9,000,000,000 ",10/1/2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,42089,"$2,000,000,000 ","DST Global, SoftBank Group, Mountain Nazca"
N26,"$9,000,000,000 ",1/10/2019,Fintech,Berlin,Germany,Europe,2013,41462,"$2,000,000,000 ","Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,"$9,000,000,000 ",11/17/2020,Internet software & services,Boston,United States,North America,2012,42140,"$679,000,000 ","Summit Partners, Accel, Astral Capital"
Niantic,"$9,000,000,000 ",11/24/2017,Mobile & telecommunications,San Francisco,United States,North America,2015,41048,"$770,000,000 ","Nintendo, Google, Pokemon Company International, Spark Capital"
Tanium,"$9,000,000,000 ",3/31/2015,Cybersecurity,Kirkland,United States,North America,2007,40087,"$775,000,000 ","Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Dream11,"$8,000,000,000 ",4/9/2019,Internet software & services,Mumbai,India,Asia,2007,41557,"$2,000,000,000 ","Kaalari Capital, Tencent Holdings, Steadview Capital"
DJI Innovations,"$8,000,000,000 ",1/23/2015,Hardware,Shenzhen,China,Asia,2006,40021,"$105,000,000 ","Accel Partners, Sequoia Capital"
Netskope,"$8,000,000,000 ",11/13/2018,Cybersecurity,Santa Clara,United States,North America,2012,41405,"$1,000,000,000 ","Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,"$8,000,000,000 ",10/11/2020,Fintech,Bengaluru,India,Asia,2013,42102,"$742,000,000 ","Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Dapper Labs,"$8,000,000,000 ",3/30/2021,Fintech,Vancouver,Canada,North America,2018,42267,"$607,000,000 ","Union Square Ventures, Venrock, Andreessen Horowitz"
Lacework,"$8,000,000,000 ",1/7/2021,Cybersecurity,San Jose,United States,North America,2015,42188,"$2,000,000,000 ","Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
Tipalti,"$8,000,000,000 ",10/6/2020,Fintech,San Mateo,United States,North America,2010,42100,"$549,000,000 ","01 Advisors, Zeev Ventures, Group 11"
Hopin,"$8,000,000,000 ",11/10/2020,Internet software & services,London,United Kingdom,Europe,2019,42126,"$1,000,000,000 ","Accel, Northzone Ventures, Institutional Venture Partners"
Caris Life Sciences,"$8,000,000,000 ",5/12/2021,Health,Irving,United States,North America,1996,42332,"$1,000,000,000 ","Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,"$8,000,000,000 ",3/29/2021,Fintech,New York,United States,North America,2019,42265,"$660,000,000 ","D1 Capital Partners, Stripe, Coatue Management"
Tempus,"$8,000,000,000 ",3/21/2018,Health,Chicago,United States,North America,2015,41165,"$820,000,000 ","New Enterprise Associates, T. Rowe Associates, Lightbank"
Fireblocks,"$8,000,000,000 ",7/27/2021,Fintech,New York,United States,North America,2018,42386,"$1,000,000,000 ","Tenaya Capital, Coatue Management, Stripes Group"
Flexport,"$8,000,000,000 ",4/30/2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,41207,"$2,000,000,000 ","Bloomberg Beta, Founders Fund, First Round Capital"
National Stock Exchange of India,"$7,000,000,000 ",7/1/2020,Fintech,Mumbai,India,Asia,1998,42015,"$297,000,000 ","TA Associates, SoftBank Group, GS Growth"
Meicai,"$7,000,000,000 ",6/22/2016,Mobile & telecommunications,Beijing,China,Asia,2014,40529,"$1,000,000,000 ","Tiger Global Management, Blue Lake Capital, ZhenFund"
Impossible Foods,"$7,000,000,000 ",5/13/2019,Consumer & retail,Redwood City,United States,North America,2011,41587,"$2,000,000,000 ","Khosla Ventures, Horizons Ventures, Temasek Holdings"
CRED,"$7,000,000,000 ",4/6/2021,Fintech,Bengaluru,India,Asia,2018,42274,"$922,000,000 ","Tiger Global Management, DST Global, Sequoia Capital India"
Attentive,"$7,000,000,000 ",9/23/2020,Mobile & telecommunications,Hoboken,United States,North America,2016,42081,"$863,000,000 ","NextView Ventures, Eniac Ventures, Sequoia Capital"
Ola Cabs,"$7,000,000,000 ",10/27/2014,Auto & transportation,Bengaluru,India,Asia,2010,39929,"$4,000,000,000 ","Accel Partners, SoftBank Group, Sequoia Capital"
Rippling,"$7,000,000,000 ",8/4/2020,Internet software & services,San Francisco,United States,North America,2017,42030,"$447,000,000 ","Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Carta,"$7,000,000,000 ",5/6/2019,Fintech,San Francisco,United States,North America,2012,41579,"$1,000,000,000 ","Menlo Ventures, Spark Capital, Union Square Ventures"
Toss,"$7,000,000,000 ",12/9/2018,Fintech,Seoul,South Korea,Asia,2013,41430,"$844,000,000 ","Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Ziroom,"$7,000,000,000 ",1/17/2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,41106,"$2,000,000,000 ","Sequoia Capital China, Warburg Pincus, General Catalyst"
Scale AI,"$7,000,000,000 ",8/5/2019,Artificial intelligence,San Francisco,United States,North America,2018,41664,"$603,000,000 ","Accel, Y Combinator, Index Ventures"
Gong,"$7,000,000,000 ",8/12/2020,Artificial intelligence,Palo Alto,United States,North America,2015,42040,"$583,000,000 ","Norwest Venture Partners, Next World Capital, Wing Venture Capital"
TripActions,"$7,000,000,000 ",11/8/2018,Travel,Palo Alto,United States,North America,2015,41397,"$912,000,000 ","Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
1Password,"$7,000,000,000 ",7/8/2021,Cybersecurity,Toronto,Canada,North America,2005,42380,"$920,000,000 ","Slack Fund, Accel, Skip Capital"
Automation Anywhere,"$7,000,000,000 ",7/2/2018,Artificial intelligence,San Jose,United States,North America,2003,41280,"$849,000,000 ","General Atlantic, Goldman Sachs, New Enterprise Associates"
Gemini,"$7,000,000,000 ",11/19/2021,Fintech,New York,United States,North America,2015,42504,"$424,000,000 ","Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
ConsenSys,"$7,000,000,000 ",11/17/2021,Fintech,New York,United States,North America,2014,42503,"$660,000,000 ","Third Point, Electric Capital, Coinbase Ventures"
Ro,"$7,000,000,000 ",7/27/2020,Health,New York,United States,North America,2017,42022,"$1,000,000,000 ","Initialized Capital, General Catalyst, SignalFire"
Black Unicorn Factory,"$6,000,000,000 ",5/20/2021,Other,Los Angeles,United States,North America,2020,42316,"$645,000,000 ",Barter Ventures
Easyhome,"$6,000,000,000 ",2/12/2018,Consumer & retail,Beijing,China,Asia,1999,41144,"$2,000,000,000 ","Alibaba Group, Boyu Capital, Borui Capital"
WeDoctor,"$6,000,000,000 ",9/22/2015,Health,Hangzhou,China,Asia,2010,40259,"$1,000,000,000 ","Tencent, Morningside Group"
SVOLT,"$6,000,000,000 ",6/8/2020,Auto & transportation,Changzhou,China,Asia,2018,41972,"$3,000,000,000 ","IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
Airwallex,"$6,000,000,000 ",3/25/2019,Fintech,Melbourne,Australia,Oceania,2015,41534,"$802,000,000 ","DST Global, Sequoia Capital China, Tencent Holdings"
Deel,"$6,000,000,000 ",4/21/2021,Fintech,San Francisco,United States,North America,2018,42289,"$629,000,000 ","Andreessen Horowitz, Spark Capital, Y Combinator"
Mambu,"$6,000,000,000 ",1/6/2021,Fintech,Amsterdam,Netherlands,Europe,2011,42191,"$448,000,000 ","Runa Capital, Acton Capital Partners, Point Nine Capital"
Mollie,"$6,000,000,000 ",9/8/2020,Fintech,Amsterdam,Netherlands,Europe,2004,42078,"$928,000,000 ",Technology Crossover Ventures
Doctolib,"$6,000,000,000 ",3/19/2019,Health,Paris,France,Europe,2013,41530,"$815,000,000 ","BPI France, Kerala Ventures, Accel"
FiveTran,"$6,000,000,000 ",6/30/2020,Data management & analytics,Oakland,United States,North America,2012,42000,"$728,000,000 ","Matrix Partners, Andreessen Horowitz, General Catalyst"
Postman,"$6,000,000,000 ",6/11/2020,Internet software & services,San Francisco,United States,North America,2014,41979,"$433,000,000 ","Nexus Venture Partners, CRV, Insight Partners"
Back Market,"$6,000,000,000 ",5/18/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,42320,"$1,000,000,000 ","Aglae Ventures, Eurazeo, Daphni"
Cityblock Health,"$6,000,000,000 ",12/10/2020,Health,Brooklyn,United States,North America,2017,42158,"$891,000,000 ","Thrive Capital, Maverick Ventures, Redpoint Ventures"
DataRobot,"$6,000,000,000 ",7/29/2019,Artificial intelligence,Boston,United States,North America,2012,41663,"$1,000,000,000 ","New Enterprise Associates, Accomplice, IA Ventures"
Personio,"$6,000,000,000 ",1/19/2021,Internet software & services,Munich,Germany,Europe,2015,42200,"$524,000,000 ","Global Founders Capital, Nortzone Ventures, Picus Capital"
RELEX Solutions,"$6,000,000,000 ",2/17/2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,42604,"$803,000,000 ","Blackstone, Technology Crossover Ventures, Summit Partners"
Vice Media,"$6,000,000,000 ",4/2/2011,Internet software & services,Brooklyn,United States,North America,1994,38641,"$1,000,000,000 ","Technology Crossover Ventures, A&E Television Networks"
Workato,"$6,000,000,000 ",1/12/2021,Internet software & services,Mountain View,United States,North America,2013,42195,"$415,000,000 ","Battery Ventures, Storm Ventures, Redpoint Ventures"
Upgrade,"$6,000,000,000 ",2/12/2018,Fintech,San Francisco,United States,North America,2016,41127,"$587,000,000 ","Union Square Ventures, Ribbit Capital, VY Capital"
Lianjia,"$6,000,000,000 ",4/7/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,40466,"$1,000,000,000 ","Tencent, Baidu, Huasheng Capital"
Hinge Health,"$6,000,000,000 ",1/6/2021,Health,San Francisco,United States,North America,2015,42187,"$826,000,000 ","Atomico, Insight Partners, Coatue Management"
Lyra Health,"$6,000,000,000 ",8/25/2020,Health,Burlingame,United States,North America,2015,42053,"$910,000,000 ","Greylock Partners, Venrock, Providence Ventures"
Benchling,"$6,000,000,000 ",4/14/2021,Internet software & services,San Francisco,United States,North America,2012,42288,"$412,000,000 ","Thrive Capital, Benchmark, MenloVentures"
Better.com,"$6,000,000,000 ",11/10/2020,Fintech,New York,United States,North America,2018,42127,"$405,000,000 ","Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
iCapital Network,"$6,000,000,000 ",7/27/2021,Fintech,New York,United States,North America,2013,42391,"$729,000,000 ","BlackRock, Blackstone, UBS"
Wiz,"$6,000,000,000 ",3/17/2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,42252,"$600,000,000 ","Insight Partners, Sequoia Capital, Index Ventures"
DailyHunt,"$5,000,000,000 ",12/22/2020,Internet software & services,Bengaluru,India,Asia,2007,42180,"$869,000,000 ","Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,"$5,000,000,000 ",9/29/2020,Other,London,United Kingdom,Europe,1994,42109,"$187,000,000 ","General Atlantic, 3i Group, Huagai Capital"
Meesho,"$5,000,000,000 ",4/5/2021,Internet software & services,Bengaluru,India,Asia,2015,42276,"$1,000,000,000 ","Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,"$5,000,000,000 ",7/23/2014,Hardware,Zhuhai,China,Asia,2003,39840,"$943,000,000 ","Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,"$5,000,000,000 ",10/8/2018,Artificial intelligence,Guangzhou,China,Asia,2015,41366,"$514,000,000 ","Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,"$5,000,000,000 ",8/18/2015,Hardware,Shenzhen,China,Asia,2012,40222,"$492,000,000 ","Warmsun Holding, IDG Capital Partners"
Monzo,"$5,000,000,000 ",10/31/2018,Fintech,London,United Kingdom,Europe,2015,41389,"$1,000,000,000 ","Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,"$5,000,000,000 ",3/16/2021,Cybersecurity,New York,United States,North America,2012,42259,"$644,000,000 ","Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,"$5,000,000,000 ",8/4/2016,Edtech,Beijing,China,Asia,2013,40573,"$1,000,000,000 ","Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vinted,"$5,000,000,000 ",11/27/2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,41788,"$562,000,000 ","Accel, Insight Partners, Burda Principal Investments"
Lendable,"$5,000,000,000 ",3/31/2021,Fintech,London,United Kingdom,Europe,2014,42272,"$286,000,000 ","Ontario Teachers' Pension Plan, Goldman Sachs"
UBTECH Robotics,"$5,000,000,000 ",7/25/2016,Hardware,Shenzhen,China,Asia,2012,40564,"$943,000,000 ","CDH Investments, Goldstone Investments, Qiming Venture Partners"
Anduril,"$5,000,000,000 ",9/11/2019,Artificial intelligence,Irvine,United States,North America,2017,41702,"$691,000,000 ","Andreessen Horowitz, Founders Fund, Revolution Ventures"
Checkr,"$5,000,000,000 ",9/19/2019,Internet software & services,San Francisco,United States,North America,2014,41713,"$559,000,000 ","Y Combinator, Accel, T. Rowe Price"
Color,"$5,000,000,000 ",1/4/2021,Health,Burlingame,United States,North America,2013,42187,"$497,000,000 ","General Catalyst, Viking Global Investors, T. Rowe Price"
Dataiku,"$5,000,000,000 ",12/4/2019,Internet software & services,New York,United States,North America,2013,41790,"$647,000,000 ","Alven Capital, FirstMark Capital, capitalG"
BetterUp,"$5,000,000,000 ",2/25/2021,Internet software & services,San Francisco,United States,North America,2013,42239,"$567,000,000 ","Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,"$5,000,000,000 ",7/6/2021,Fintech,Copenhagen,Denmark,Europe,2015,42368,"$428,000,000 ","Creandum, Founders, Kinnevik"
Trade Republic,"$5,000,000,000 ",5/20/2021,Fintech,Berlin,Germany,Europe,2015,42321,"$996,000,000 ","Founders Fund, Accel, Creandum"
Chipone,"$5,000,000,000 ",12/16/2021,Hardware,Beijing,China,Asia,2008,42538,"$1,000,000,000 ","China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
Collibra,"$5,000,000,000 ",1/29/2019,Data management & analytics,Brussels,Belgium,Europe,2008,41486,"$596,000,000 ","Index Ventures, Battery Ventures, ICONIQ Capital"
Rappi,"$5,000,000,000 ",8/31/2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,41328,"$2,000,000,000 ","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
6Sense,"$5,000,000,000 ",3/30/2021,Artificial intelligence,San Francisco,United States,North America,2013,42272,"$426,000,000 ","Venrock, Battery Ventures, Insight Partners"
Cerebral,"$5,000,000,000 ",6/10/2021,Health,San Francisco,United States,North America,2020,42337,"$462,000,000 ","Oak HC/FT Partners, Artis Ventures, WestCap Group"
Creditas,"$5,000,000,000 ",12/18/2020,Fintech,Sao Paulo,Brazil,South America,2012,42171,"$824,000,000 ","Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
OneTrust,"$5,000,000,000 ",7/11/2019,Internet software & services,Atlanta,United States,North America,2016,41641,"$926,000,000 ",Insight Partners
QuintoAndar,"$5,000,000,000 ",9/9/2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,41705,"$755,000,000 ","Kaszek Ventures, General Atlantic, SoftBank Group"
C6 Bank,"$5,000,000,000 ",12/2/2020,Fintech,Sao Paulo,Brazil,South America,2018,42149,"$2,000,000,000 ",Credit Suisse
Cockroach Labs,"$5,000,000,000 ",1/12/2021,Data management & analytics,New York,United States,North America,2015,42193,"$633,000,000 ","Google Ventures, Benchmark, FirstMark Capital"
Hopper,"$5,000,000,000 ",3/24/2021,Travel,Montreal,Canada,North America,2007,42272,"$599,000,000 ","Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
Icertis,"$5,000,000,000 ",7/17/2019,Artificial intelligence,Bellevue,United States,North America,2009,41654,"$371,000,000 ","Eight Roads Ventures, Greycroft, Ignition Partners"
Moon Active,"$5,000,000,000 ",1/26/2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,41845,"$425,000,000 ","Insight Partners, Andalusian Capital Partners"
