Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Days Existed,Funding,Select Investors
TERMINUS Technology,"$1,000,000,000 ",10/25/2018,Hardware,Beijing,China,Asia,2015,41383,"$623,000,000 ","China Everbright Limited, IDG Capital, iFLYTEK"
Tezign,"$1,000,000,000 ",11/2/2021,Internet software & services,Shanghai,China,Asia,2015,42487,"$151,000,000 ","Sequoia Capital China, Linear Venture, Hearst Ventures"
The Zebra,"$1,000,000,000 ",4/12/2021,E-commerce & direct-to-consumer,Austin,United States,North America,2012,42286,"$257,000,000 ","Silverton Partners, Accel, Ballast Point Ventures"
Thirty Madison,"$1,000,000,000 ",6/2/2021,Health,New York,United States,North America,1993,42356,"$210,000,000 ","Northzone Ventures, Maveron, Johnson & Johnson Innovation"
Thought Machine,"$1,000,000,000 ",11/29/2021,Fintech,London,United Kingdom,Europe,2014,42515,"$403,000,000 ","British Patient Capital, SEB Venture Capital, IQ Capital"
Timescale,"$1,000,000,000 ",2/22/2022,Internet software & services,New York,United States,North America,2015,42599,"$181,000,000 ","New Enterprise Associates, Benchmark, Two Sigma Ventures"
Tractable,"$1,000,000,000 ",6/16/2021,Artificial intelligence,London,United Kingdom,Europe,2014,42349,"$120,000,000 ","Insight Partners, Ignition Partners, Georgian Partners"
Tresata,"$1,000,000,000 ",10/10/2018,Fintech,Charlotte,United States,North America,2011,41372,"$51,000,000 ",GCP Capital Partners
TrialSpark,"$1,000,000,000 ",9/30/2021,Health,New York,United States,North America,2014,42455,"$156,000,000 ","Sequoia Capital, Thrive Capital, Sound Ventures"
TrueLayer,"$1,000,000,000 ",9/21/2021,Fintech,London,United Kingdom,Europe,2016,42444,"$271,000,000 ","Anthemis, Connect Ventures, Northzone Ventures"
Unico,"$1,000,000,000 ",8/3/2021,Artificial intelligence,Sao Paulo,Brazil,South America,2007,42404,"$237,000,000 ","Big Bets, General Atlantic, SOFTBANK Latin America Ventures"
Vagaro,"$1,000,000,000 ",11/3/2021,Internet software & services,Dublin,United States,North America,2009,42494,"$163,000,000 ",FTV Capital
Vedantu,"$1,000,000,000 ",9/29/2021,Edtech,Bengaluru,India,Asia,2014,42454,"$292,000,000 ","Accel, Tiger Global Management, Omidyar Network"
